Timestep    Total   Potential   Kinetic
267: -623.3911806182726 -642.5863599717387 19.195179353466088
268: -623.3911839552118 -642.6927562440655 19.301572288853777
269: -623.3911872449469 -642.7991764959344 19.407989250987473
270: -623.3911904860728 -642.9055676810698 19.514377194996946
271: -623.3911936772427 -643.0118775083557 19.620683831113038
272: -623.3911968171639 -643.1180544639049 19.726857646740974
273: -623.3911999046023 -643.224047832264 19.832847927661604
274: -623.3912029383782 -643.3298077167377 19.938604778359544
275: -623.3912059173708 -643.4352850588476 20.04407914147684
276: -623.3912088405139 -643.5404316569061 20.149222816392257
277: -623.3912117067977 -643.645200183725 20.253988476927383
278: -623.3912145152682 -643.7495442034492 20.358329688181016
279: -623.3912172650269 -643.8534181875211 20.462200922494304
280: -623.3912199552318 -643.9567775297821 20.565557574550283
281: -623.3912225850939 -644.0595785607057 20.668355975611785
282: -623.3912251538809 -644.1617785607831 20.77055340690219
283: -623.3912276609117 -644.263335773047 20.872108112135226
284: -623.3912301055618 -644.364209414761 20.972979309199253
285: -623.3912324872571 -644.4643596882609 21.07312720100375
286: -623.3912348054772 -644.5637477909718 21.172512985494535
287: -623.3912370597542 -644.6623359246008 21.27109886484664
288: -623.3912392496693 -644.7600873035124 21.36884805384309
289: -623.3912413748563 -644.8569661623051 21.465724787448774
290: -623.3912434349967 -644.9529377625861 21.561694327589407
291: -623.3912454298228 -645.0479683989684 21.656722969145573
292: -623.3912473591141 -645.1420254042869 21.75077804517275
293: -623.3912492226979 -645.2350771540562 21.84382793135832
294: -623.3912510204469 -645.3270930701742 21.935842049727256
295: -623.3912527522823 -645.4180436238909 22.02679087160853
296: -623.3912544181675 -645.507900338042 22.116645919874504
297: -623.391256018111 -645.5966357885771 22.20537977046614
298: -623.3912575521642 -645.6842236053811 22.29296605321692
299: -623.3912590204202 -645.7706384724094 22.379379451989184
300: -623.391260423015 -645.8558561271511 22.464595704136222
301: -623.391261760123 -645.9398533594272 22.548591599304142
302: -623.3912630319577 -646.0226080095456 22.63134497758789
303: -623.3912642387734 -646.1040989658289 22.712834727055597
304: -623.3912653808586 -646.1843061615145 22.79304078065592
305: -623.3912664585405 -646.2632105710637 22.87194411252328
306: -623.39126747218 -646.3407942058758 22.949526733695834
307: -623.3912684221744 -646.4170401094358 23.025771687261358
308: -623.3912693089515 -646.4919323518977 23.10066304294626
309: -623.3912701329729 -646.5654560241359 23.17418589116299
310: -623.3912708947323 -646.6375972312638 23.246326336531506
311: -623.3912715947513 -646.7083430856412 23.317071490889926
312: -623.3912722335826 -646.7776816993929 23.38640946581025
